manufacturer,device,param_id,name,categories,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Elektron,Digitone II,47841576,T4 SYN Osc Drift,syn/wavetone,55,,0,127,1,88,0,127,0-based,,
Elektron,Digitone II,47841575,T3 SYN Osc Drift,syn/wavetone,55,,0,127,1,88,0,127,0-based,,
Elektron,Digitone II,47841574,T2 SYN Osc Drift,syn/wavetone,55,,0,127,1,88,0,127,0-based,,
Elektron,Digitone II,47841573,T1 SYN Osc Drift,syn/wavetone,55,,0,127,1,88,0,127,0-based,,
Elektron,Digitone II,1482939892,T16 SYN Osc Mod,syn/wavetone,50,,0,3,1,83,0,3,0-based,,0: Off; 1: Ring Mod; 2: Ring Mod Fixed; 3: Hard Sync
Elektron,Digitone II,1482939891,T15 SYN Osc Mod,syn/wavetone,50,,0,3,1,83,0,3,0-based,,0: Off; 1: Ring Mod; 2: Ring Mod Fixed; 3: Hard Sync
Elektron,Digitone II,1482939890,T14 SYN Osc Mod,syn/wavetone,50,,0,3,1,83,0,3,0-based,,0: Off; 1: Ring Mod; 2: Ring Mod Fixed; 3: Hard Sync
Elektron,Digitone II,1482939889,T13 SYN Osc Mod,syn/wavetone,50,,0,3,1,83,0,3,0-based,,0: Off; 1: Ring Mod; 2: Ring Mod Fixed; 3: Hard Sync
Elektron,Digitone II,1482939888,T12 SYN Osc Mod,syn/wavetone,50,,0,3,1,83,0,3,0-based,,0: Off; 1: Ring Mod; 2: Ring Mod Fixed; 3: Hard Sync
Elektron,Digitone II,1482939887,T11 SYN Osc Mod,syn/wavetone,50,,0,3,1,83,0,3,0-based,,0: Off; 1: Ring Mod; 2: Ring Mod Fixed; 3: Hard Sync
Elektron,Digitone II,47836777,T10 SYN Osc Mod,syn/wavetone,50,,0,3,1,83,0,3,0-based,,0: Off; 1: Ring Mod; 2: Ring Mod Fixed; 3: Hard Sync
Elektron,Digitone II,47836776,T9 SYN Osc Mod,syn/wavetone,50,,0,3,1,83,0,3,0-based,,0: Off; 1: Ring Mod; 2: Ring Mod Fixed; 3: Hard Sync
Elektron,Digitone II,47836775,T8 SYN Osc Mod,syn/wavetone,50,,0,3,1,83,0,3,0-based,,0: Off; 1: Ring Mod; 2: Ring Mod Fixed; 3: Hard Sync
Elektron,Digitone II,47836774,T7 SYN Osc Mod,syn/wavetone,50,,0,3,1,83,0,3,0-based,,0: Off; 1: Ring Mod; 2: Ring Mod Fixed; 3: Hard Sync
Elektron,Digitone II,47836773,T6 SYN Osc Mod,syn/wavetone,50,,0,3,1,83,0,3,0-based,,0: Off; 1: Ring Mod; 2: Ring Mod Fixed; 3: Hard Sync
Elektron,Digitone II,47836772,T5 SYN Osc Mod,syn/wavetone,50,,0,3,1,83,0,3,0-based,,0: Off; 1: Ring Mod; 2: Ring Mod Fixed; 3: Hard Sync
Elektron,Digitone II,47836771,T4 SYN Osc Mod,syn/wavetone,50,,0,3,1,83,0,3,0-based,,0: Off; 1: Ring Mod; 2: Ring Mod Fixed; 3: Hard Sync
Elektron,Digitone II,47836770,T3 SYN Osc Mod,syn/wavetone,50,,0,3,1,83,0,3,0-based,,0: Off; 1: Ring Mod; 2: Ring Mod Fixed; 3: Hard Sync
Elektron,Digitone II,47836769,T2 SYN Osc Mod,syn/wavetone,50,,0,3,1,83,0,3,0-based,,0: Off; 1: Ring Mod; 2: Ring Mod Fixed; 3: Hard Sync
Elektron,Digitone II,47836768,T1 SYN Osc Mod,syn/wavetone,50,,0,3,1,83,0,3,0-based,,0: Off; 1: Ring Mod; 2: Ring Mod Fixed; 3: Hard Sync
Elektron,Digitone II,1482969683,T16 SYN Osc Phase Reset,syn/wavetone,51,,0,2,1,84,0,2,0-based,,0: Off; 1: On; 2: Random
Elektron,Digitone II,1482969682,T15 SYN Osc Phase Reset,syn/wavetone,51,,0,2,1,84,0,2,0-based,,0: Off; 1: On; 2: Random
Elektron,Digitone II,1482969681,T14 SYN Osc Phase Reset,syn/wavetone,51,,0,2,1,84,0,2,0-based,,0: Off; 1: On; 2: Random
Elektron,Digitone II,1482969680,T13 SYN Osc Phase Reset,syn/wavetone,51,,0,2,1,84,0,2,0-based,,0: Off; 1: On; 2: Random
Elektron,Digitone II,1482969679,T12 SYN Osc Phase Reset,syn/wavetone,51,,0,2,1,84,0,2,0-based,,0: Off; 1: On; 2: Random
Elektron,Digitone II,1482969678,T11 SYN Osc Phase Reset,syn/wavetone,51,,0,2,1,84,0,2,0-based,,0: Off; 1: On; 2: Random
Elektron,Digitone II,47837738,T10 SYN Osc Phase Reset,syn/wavetone,51,,0,2,1,84,0,2,0-based,,0: Off; 1: On; 2: Random
Elektron,Digitone II,47837737,T9 SYN Osc Phase Reset,syn/wavetone,51,,0,2,1,84,0,2,0-based,,0: Off; 1: On; 2: Random
Elektron,Digitone II,47837736,T8 SYN Osc Phase Reset,syn/wavetone,51,,0,2,1,84,0,2,0-based,,0: Off; 1: On; 2: Random
Elektron,Digitone II,47837735,T7 SYN Osc Phase Reset,syn/wavetone,51,,0,2,1,84,0,2,0-based,,0: Off; 1: On; 2: Random
Elektron,Digitone II,47837734,T6 SYN Osc Phase Reset,syn/wavetone,51,,0,2,1,84,0,2,0-based,,0: Off; 1: On; 2: Random
Elektron,Digitone II,47837733,T5 SYN Osc Phase Reset,syn/wavetone,51,,0,2,1,84,0,2,0-based,,0: Off; 1: On; 2: Random
Elektron,Digitone II,47837732,T4 SYN Osc Phase Reset,syn/wavetone,51,,0,2,1,84,0,2,0-based,,0: Off; 1: On; 2: Random
